time_s,frame_index,side,valid_mask,x,y,z,world_x,world_y,world_z,raw_speed,smoothed_speed,motion_source,motion_weight,boundary_x,boundary_y,interpolated_for_motion
15.26,763,right,False,,,,,,,,,,0.0,,,False
15.38,769,left,True,0.7404739856719971,0.7707361578941345,1.4318198182650121e-08,-0.025352422147989273,0.04032692685723305,0.02398444339632988,,,,0.0,0.760075,0.699554,False
15.38,769,right,False,,,,,,,,,,0.0,,,False
15.5,775,left,True,0.766853392124176,0.7725672721862793,1.2403320681642072e-07,-0.02782834693789482,0.05534397438168526,-0.011302299797534943,0.2528437,0.2528437,observed,1.0,0.789754,0.691672,False
15.5,775,right,False,,,,,,,,,,0.0,,,False
15.64,782,left,False,,,,,,,,,,0.0,,,False
15.64,782,right,True,0.7692780494689941,0.8091495633125305,1.9864054934259912e-07,-0.039428357034921646,0.052567921578884125,0.051655642688274384,,,,0.0,0.790312,0.737407,False
15.76,788,left,False,,,,,,,,,,0.0,,,False
15.76,788,right,False,,,,,,,,,,0.0,,,False
15.88,794,left,False,,,,,,,,,,0.0,,,False
15.88,794,right,False,,,,,,,,,,0.0,,,False
16.0,800,left,False,,,,,,,,,,0.0,,,False
16.0,800,right,False,,,,,,,,,,0.0,,,False
16.14,807,left,False,,,,,,,,,,0.0,,,False
16.14,807,right,False,,,,,,,,,,0.0,,,False
16.26,813,left,False,,,,,,,,,,0.0,,,False
16.26,813,right,False,,,,,,,,,,0.0,,,False
16.38,819,left,False,,,,,,,,,,0.0,,,False
16.38,819,right,False,,,,,,,,,,0.0,,,False
16.5,825,left,False,,,,,,,,,,0.0,,,False
16.5,825,right,False,,,,,,,,,,0.0,,,False
16.64,832,left,False,,,,,,,,,,0.0,,,False
16.64,832,right,False,,,,,,,,,,0.0,,,False
16.76,838,left,False,,,,,,,,,,0.0,,,False
16.76,838,right,False,,,,,,,,,,0.0,,,False
16.88,844,left,True,0.728099524974823,0.9782972931861877,-2.2963523349517345e-07,-0.07226545363664627,0.04428543522953987,0.03176717832684517,,,,0.0,0.792383,0.894384,False
16.88,844,right,False,,,,,,,,,,0.0,,,False
17.0,850,left,True,0.7231969833374023,0.9344696998596191,-2.2302607760593673e-07,-0.06867841631174088,0.048814065754413605,0.05171062424778938,0.3346179,0.2719869,observed,1.0,0.788753,0.843799,False
17.0,850,right,False,,,,,,,,,,0.0,,,False
17.14,857,left,True,0.7628638744354248,0.8585004806518555,-6.998445911676754e-08,-0.0621948316693306,0.05346686393022537,0.05660223960876465,0.2417037,0.2494545,observed,1.0,0.808141,0.796159,False
17.14,857,right,True,0.7430557012557983,0.9060643911361694,-2.2256595855196792e-07,-0.06377072632312775,0.05707450956106186,0.057277828454971313,,,,0.0,0.802772,0.798808,False
17.26,863,left,True,0.7839318513870239,0.9039300680160522,-1.894305938776597e-07,-0.06819012761116028,0.0703582763671875,0.029979906976222992,0.1987152,0.2271311,observed,1.0,0.843142,0.79525,False
17.26,863,right,False,,,,,,,,,,0.0,,,False
17.38,869,left,True,0.8266055583953857,0.8960628509521484,-2.3063896037456288e-07,-0.0512978658080101,0.07571770250797272,0.0488903746008873,0.2498674,0.2105236,observed,1.0,0.873094,0.763967,False
17.38,869,right,False,,,,,,,,,,0.0,,,False
17.5,875,left,True,0.8751916885375977,0.911563515663147,-1.951609220895989e-07,-0.042277492582798004,0.07588858902454376,0.04433596134185791,0.1306093,0.197781,observed,1.0,0.91474,0.77958,False
17.5,875,right,False,,,,,,,,,,0.0,,,False
17.64,882,left,False,,,,,,,,,,0.0,,,False
17.64,882,right,False,,,,,,,,,,0.0,,,False
17.76,888,left,False,,,,,,,,,,0.0,,,False
17.76,888,right,False,,,,,,,,,,0.0,,,False
17.88,894,left,False,,,,,,,,,,0.0,,,False
17.88,894,right,False,,,,,,,,,,0.0,,,False
18.0,900,left,False,,,,,,,,,,0.0,,,False
18.0,900,right,False,,,,,,,,,,0.0,,,False
18.14,907,left,False,,,,,,,,,,0.0,,,False
18.14,907,right,False,,,,,,,,,,0.0,,,False
18.26,913,left,False,,,,,,,,,,0.0,,,False
18.26,913,right,False,,,,,,,,,,0.0,,,False
18.38,919,left,False,,,,,,,,,,0.0,,,False
18.38,919,right,False,,,,,,,,,,0.0,,,False
18.5,925,left,False,,,,,,,,,,0.0,,,False
18.5,925,right,False,,,,,,,,,,0.0,,,False
18.64,932,left,False,,,,,,,,,,0.0,,,False
18.64,932,right,False,,,,,,,,,,0.0,,,False
18.76,938,left,False,,,,,,,,,,0.0,,,False
